,name,title,title2,title3,education
369,Sebastian Smee,Garis Fellow in Non-Fiction Writing,,,"B.A., Sydney University"
370,Alexandria Smith,Assistant Professor of Art,,,"B.F.A., Syracuse University; M.A., New York University; M.F.A., Parsons The New School for Design"
371,Mingwei Song A2,Associate Professor of Chinese,,,"B.A., Shandong University; M.A., Fudan University; M.Phil., Ph.D., Columbia University"
372,Jae Young Song,Visiting Lecturer in Korean,,,"B.A., M.A., Yonsei University"
373,Tessa Spillane,PERA Associate Professor of the Practice,,,"B.A., Mount Holyoke College; M.S., Smith College"
374,Rachel Stanley A1,Assistant Professor of Chemistry,,,"B.S., Ph.D,  Massachusetts Institute of Technology"
375,Glenn StarkA,Professor of Physics,,,"B.S., Massachusetts Institute of Technology; M.A., Ph.D., University of California (Berkeley)"
376,Jane E. Starkman,Music Performance Faculty in Baroque Violin,,,"B.M., M.M., New England Conservatory of Music"
377,Raymond James Starr,Theodora Stone Sutton Professor of Classics,Professor of Classical Studies,,"B.A., University of Michigan (Ann Arbor); M.A., Ph.D., Princeton University"
378,Filomina Chioma Steady,Professor of Africana Studies,,,"B.A., Smith College; M.A., Boston University; B.Litt., D.Phil., Oxford University"
379,Jordan Suchow,Visiting Lecturer in Psychology,,,"B.S., Brandeis University; A.M., Ph.D., Harvard University"
380,Rebecca Summerhays,Visiting Lecturer in the Writing Program,,,"B.A., M.A., University of Utah; Ph.D., Brown University"
381,Yui SuzukiA,Associate Professor of Biological Sciences,,,"A.B., Bowdoin College; Ph.D., Duke University"
382,Joseph Swingle,Senior Lecturer in Sociology,,,"B.A., Carleton College; M.A., Ph.D., Harvard University"
383,Olga Talroze,Senior Coach/Collaborative Keyboardist,,,"B.M., M.M, San Francisco Conservatory of Music"
384,Jenny Chui-Chun Tang,Senior Music Performance Faculty in Piano and Keyboard Skills,"Co-Director, Wellesley Chamber Music Society",,"B.M., M.M., New England Conservatory of Music"
385,Qiuyan Tang,Lecturer in Chinese,,,"B.A., Nanjing Normal University; M.A., Fudan University"
386,Jonathan Tannenhauser,Lecturer in Mathematics,,,"A.B., Harvard University; M.A., Ph.D., University of California (Berkeley)"
387,Corrine Taylor A1,Senior Lecturer in the Quantitative Reasoning Program,,,"B.A., College of William and Mary; M.S., Ph.D., University of Wisconsin (Madison)"
388,Sonja Tengblad,Music Instructor in Voice,,,
389,Marc J. Tetel,"Dorothy and Charles Jenkins, Jr. Distinguished Professor of Neuroscience",,,"B.A., Northwestern University; Ph.D., University of Massachusetts (Amherst)"
390,Sally A. Theran,Associate Professor of Psychology,,,"B.A., Bates College; M.A., Ph.D., Michigan State University"
391,Marcia E. Thomas,Senior Instructor in Biological Sciences Laboratory,,,"B.S., University of Massachusetts; M.A., Smith College"
392,Rebecca Thornblade,Music Performance Faculty in Cello,,,"B.M., Oberlin Conservatory; M.M., Juilliard School"
393,Brian Tjaden,Professor of Computer Science,,,"B.A., Amherst College; M.S., Ph.D., University of Washington"
394,Eiko Torii-Williams,Senior Lecturer in Japanese,,,"B.A., Kansai University (Osaka); Ed.M., Ph.D., Boston University"
395,David Towlun,Theatre Production Manager,,,"M.F.A., Purchase College (State University of New York)"
396,Marie-Paule Tranvouez,Senior Lecturer in French,,,"D.U.T., Institut Universitaire de Technologie, (Brest); M.A., State University of New York (Stony Brook); Ph.D., University of California (Santa Barbara)"
397,Ann Trenk,Professor of Mathematics,,,"A.B., Harvard University; M.S., Ph.D., Johns Hopkins University"
398,Nina Tumarkin,Kathryn Wasserman Davis Professor of Slavic Studies,Professor of History,,"B.A., University of Rochester; M.A., Ph.D., Harvard University"
